MCDM Tools / Methods,Serial Number | Application Area
AHP,"1             | Supply Chain Management, Risk Management"
Fuzzy AHP,"2             | Supply Chain Management, Medical Device and Material Selection, Logistics, COVID-19"
"Rank order centroid, fuzzy TOPSIS",3             | Supply Chain Management
SMART,"4             | Supply Chain Management, Medical Device and Material Selection, Disease Identification and Treatment, Operations Management in Healthcare, COVID-19"
MARCOS,"5             | Supply Chain Management, Medical Device and Material Selection, Logistics"
"BWM, DEMATEL, EDAS",6             | Supply Chain Management
"PIPRECIA, MABAC, CoCoSo, MARCOS",7             | Supply Chain Management
"Fuzzy Delphi, SWARA, fuzzy COPRAS","8             | Supply Chain Management, Medical Device and Material Selection, Healthcare Information System"
"Rough numbers, PFS, BWM, MABAC",9             | Supply Chain Management
"Fuzzy Delphi, grey-DEMATEL","10            | Supply Chain Management, Medical Device and Material Selection, Disease Identification and Treatment, COVID-19"
"AHP, TOPSIS","11            | Supply Chain Management, Disease Identification and Treatment, COVID-19"
AHP,"12            | Supply Chain Management, Medical Device and Material Selection, Operations Management in Healthcare"
"BWM, GRA, TOPSIS","13            | Supply Chain Management, Disease Identification and Treatment"
"IVIFS, VIKOR, MARCOS","14            | Supply Chain Management, Medical Device and Material Selection"
Evidence-based decision making,"15            | Medical Device and Material Selection, Disease Identification and Treatment"
"NFS, Neutrosophic Fuzzy (NF)-TOPSIS, NF-AHP, NF-MOORA",16            | Medical Device and Material Selection
"Intuitionistic Fuzzy (IF) Choquet interval, IF-VIKOR, IF-TOPSIS, IF-COPRAS, IF-MOORA, IF-MULTIMOORA",17            | Medical Device and Material Selection
"Interval-valued type-2 Gaussian fuzzy sets, TODIM",18            | Medical Device and Material Selection
"Trapezoidal Bipolar Fuzzy Sets, EDAS",19            | Medical Device and Material Selection
"AHP, ELECTRE","20            | Medical Device and Material Selection, Healthcare Information System"
Fuzzy TOPSIS,21            | Medical Device and Material Selection
"Fuzzy PSI, fuzzy MARCOS",22            | Medical Device and Material Selection
"Borda method, WSM",23            | Medical Device and Material Selection
"BWM, EDAS",24            | Disease Identification and Treatment
Intuitionistic fuzzy multiplicative BWM,25            | Disease Identification and Treatment
"Multi-attribute utility theory, AHP",26            | Disease Identification and Treatment
"AHP, DEMATEL","27            | Disease Identification and Treatment, COVID-19"
"EM, VIKOR, TOPSIS",28            | Disease Identification and Treatment
"EM, VIKOR","29            | Disease Identification and Treatment, COVID-19"
"q-rung orthopair fuzzy soft numbers, AHP",30            | Healthcare Information System
SMART,31            | Healthcare Information System
"DEMATEL, ANP, VIKOR",32            | Healthcare Information System
VIKOR,33            | Healthcare Information System
"DEMATEL, AHP",34            | Healthcare Information System
Fuzzy ANP,"35            | Healthcare Information System, Logistics"
